Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
438.726,2150.18,115,115
438.726,2138.06,115,115
439.474,2138.6,115,115
431.862,2124.91,115,115
432.365,2118.29,115,115
428.405,2104.75,115,115
423.356,2087.28,115,115
428.725,2081.3,115,115
428.56,2067.43,115,115
424.862,2052.07,115,115
415.787,2043.31,115,115
415.433,2033.29,115,115
419.165,2020.83,115,115
417.247,2009.76,115,115
413.31,1993.9,115,115
408.929,1983.39,115,115
409.561,1967.31,115,115
397.104,1954.24,116.34,115
397.104,1942.15,116.34,115
406.018,1940.66,115,115
401.006,1929.25,115,115
398.121,1917.09,115.869,115
396.029,1917.81,116.837,115
400.173,1903.28,115,115
395.414,1901.28,117.121,115
394.886,1885.39,117.365,115
394.415,1876.25,117.583,115
387.183,1835.69,120.928,115
383.054,1825.32,122.838,115
380.94,1817.45,123.815,115
380.276,1806.99,124.122,115
378.326,1794.95,125.024,115
381.315,1777.18,123.642,115
376.184,1768.04,126.015,115
372.757,1737.17,127.6,115
372.807,1728.16,127.577,115
367.862,1719.85,129.864,115
367.507,1701.29,130.028,115
365.286,1695.28,131.055,115
360.291,1679.23,133.365,115
356.652,1675.06,135.049,115
353.521,1656.37,136.496,115
359.318,1644.43,133.816,115
352.847,1620.55,136.808,115
350.878,1607.52,137.719,115
353.931,1596.96,136.307,115
350.972,1573.73,137.675,115
348.126,1568.91,138.992,115
348.792,1550.83,138.684,115
345.04,1537.95,140.419,115
345.04,1524.93,140.419,115
340.606,1518.05,142.47,115
339.569,1505.02,142.95,115
339.962,1510.21,142.768,115
346.805,1502.33,139.603,115
346.933,1485.53,139.543,115
345.594,1474.53,140.163,115
345.307,1455.43,140.295,115
343.667,1444.59,141.054,115
339.167,1431.04,143.135,115
337.834,1421.16,143.752,115
340.581,1409.71,142.481,115
336.031,1390.85,144.586,115
334.39,1377.83,145.345,115
340.872,1360.02,142.347,115
341.403,1346.16,142.101,115
344.012,1333.81,140.894,115
332.377,1319.37,146.276,115
341.438,1302.37,142.085,115
346.311,1291.73,139.831,115
346.311,1278.73,139.831,115
342.374,1275.49,141.652,115
4870.22,1267.64,115,300
4866.07,1255.65,115,300
4860.5,1254.53,115,300
4853.56,1234.55,115,300
4847.77,1220.17,115,300
4869.19,1198.92,115,300
4369.96,1180.24,115,300
4368.92,1159.15,114.096,297.428
1173.75,1138.39,112.369,292.511
1173.07,1118.23,110.693,287.741
907.905,1097.53,117.411,219.556
768.383,1102.32,121.446,186.585
676.171,1252.34,115,173.113
583.997,1232.29,115,149.43
578.501,1212.74,115,148.018
592.608,1211.69,115,151.642
612.923,1200.64,115,156.862
612.61,1186.56,115,156.782
628.573,1169.93,115.011,160.875
628.225,1172.51,115,160.794
658.998,1168.39,115.232,168.495
667.529,1161.6,116.179,169.802
690.256,1146.29,118.085,173.542
689.562,1141.41,118.728,172.712
705.222,1133.04,119.562,175.488
708.825,1116.68,121.492,174.124
717.757,1117.77,121.152,176.47
727.827,1113.24,121.431,178.301
712.188,1109.46,122.279,173.948
725.14,1101.25,122.868,175.946
725.23,1098.64,123.163,175.599
726.289,1099.72,123.007,176.008
